record_index,delta,L_B,constraint_residual,finite_q_relative_error,incoming_plateau,outgoing_plateau
193,1.0000000005838672e-07,11.920542914917414,9.313229938515776e-16,4.159790297806688e-08,True,True
194,1.0000000005838672e-07,15.950066827511028,2.7862640580161857e-16,1.736310256163011e-10,True,True
195,1.0000000005838672e-07,9.226755350060667,7.040412589345779e-16,7.87083074128126e-08,True,True
196,1.0000000005838672e-07,11.644469697616836,9.077974670184591e-16,4.1646312877347675e-08,True,True
197,1.0000000005838672e-07,15.673993610210449,4.0055103600513775e-16,1.6774537926845086e-10,True,True
198,1.0000000005838672e-07,9.231763705683903,7.306872768104048e-16,7.873348840317539e-08,True,True
199,1.0000000005838672e-07,11.649478053240072,7.520196399765921e-16,4.164541287640791e-08,True,True
200,1.0000000005838672e-07,15.679001965833685,4.459181293454745e-16,1.6959182726776212e-10,True,True
201,1.0000000005838672e-07,9.231763705683903,7.306872768104048e-16,7.873348840317539e-08,True,True
202,1.0000000005838672e-07,11.649478053240072,7.520196399765921e-16,4.164541287640791e-08,True,True
203,1.0000000005838672e-07,15.679001965833685,4.459181293454745e-16,1.6959182726776212e-10,True,True
204,1.0000000005838672e-07,9.231763705683903,7.306872768104048e-16,7.873348939644097e-08,True,True
205,1.0000000005838672e-07,11.649478053240072,7.273744022301727e-16,4.164538192441844e-08,True,True
206,1.0000000005838672e-07,15.679001965833685,4.459181293454745e-16,1.6959182726776212e-10,True,True
207,1.0000000005838672e-07,9.231763705683903,7.306872768104048e-16,7.873348840317539e-08,True,True
208,1.0000000005838672e-07,11.649478053240072,7.520196399765921e-16,4.164541287640791e-08,True,True
209,1.0000000005838672e-07,15.679001965833685,4.459181293454745e-16,1.6959182726776212e-10,True,True
210,1.0000000005838672e-07,8.87290502367575,6.017544419986816e-16,7.691535253122478e-08,True,True
211,1.0000000005838672e-07,11.290619371231918,8.629186314590476e-16,4.1711835261871155e-08,True,True
212,1.0000000005838672e-07,15.320143283825532,2.4787572168449845e-16,1.6172403057953868e-10,True,True
213,1.0000000005838672e-07,8.877913379298985,8.027487942224246e-16,7.694215341910301e-08,True,True
214,1.0000000005838672e-07,11.295627726855153,8.524544798350498e-16,4.171017022948026e-08,True,True
215,1.0000000005838672e-07,15.325151639448766,2.0227146780432692e-16,1.6187596066761453e-10,True,True
216,1.0000000005838672e-07,8.877913379298985,8.027487942224246e-16,7.694215341910301e-08,True,True
217,1.0000000005838672e-07,11.295627726855153,8.524544798350498e-16,4.171017022948026e-08,True,True
218,1.0000000005838672e-07,15.325151639448766,2.0227146780432692e-16,1.6187596066761453e-10,True,True
219,1.0000000005838672e-07,8.877913379298985,8.027487942224246e-16,7.694215341910301e-08,True,True
220,1.0000000005838672e-07,11.295627726855153,8.524544798350498e-16,4.171017022948026e-08,True,True
221,1.0000000005838672e-07,15.325151639448766,2.0227146780432692e-16,1.6187596066761453e-10,True,True
222,1.0000000005838672e-07,8.877913379298985,8.027487942224246e-16,7.694215341910301e-08,True,True
223,1.0000000005838672e-07,11.295627726855153,8.524544798350498e-16,4.171017022948026e-08,True,True
224,1.0000000005838672e-07,15.325151639448766,2.0227146780432692e-16,1.6187596066761453e-10,True,True
225,3.162277661949986e-07,8.91780231805154,1.3335035564993503e-15,7.428097507997426e-08,True,True
226,3.162277661949986e-07,11.162822783636226,8.793692770486805e-16,3.854191894839378e-08,True,True
227,3.162277661949986e-07,14.904523559610702,5.194548133649612e-16,8.601318404801777e-11,True,True
228,3.162277661949986e-07,8.922810673674777,7.192393924361495e-16,7.430249813783872e-08,True,True
